,infected,dead,infected_min,infected_max,dead_min,dead_max
0,0,1,0.0,0.0,0.30696117329070405,2.3873909721143205
1,0,1,0.0,0.0,0.3133295323166654,2.1240598147789
2,0,1,0.0,0.0,0.3099737329479332,1.8653291462578925
3,0,0,0.0,0.0,0.29776104287139116,1.614516232859705
4,0,0,0.0,0.0,0.27794653470262487,1.3750945408028081
5,0,0,0.0,0.0,0.2521699533449063,1.1507101466603002
6,0,0,0.0,0.0,0.2224402395171418,0.9452067048705048
7,0,0,0.0,0.0,0.19110770005103478,0.7626586053927313
8,0,0,0.0,0.0,0.16082472560881114,0.6074110613551333
9,0,0,0.0,0.0,0.1344969653148402,0.48412487973787655
10,0,0,0.0,0.0,0.11522784838709188,0.39782271487181675
11,5,0,1.3333772323219941,9.839248919451936,0.10626013079630872,0.35393284921403456
12,17,0,4.361344461864544,30.462366133909033,0.11091857162524246,0.35832615707094695
13,29,0,7.782210824276209,51.67339562930903,0.132557782891958,0.41734201079308764
14,42,0,11.594458230171771,73.47674010416632,0.17451870901013553,0.5377995243795105
15,55,0,15.794728426172234,95.87731375737167,0.24009614912011967,0.7269916247812787
16,69,0,20.37787480341558,118.880460801519,0.3325184076136303,0.9926608257384135
17,83,0,25.337036671103874,142.49185409286963,0.4549387700820026,1.3429570274912408
18,98,1,30.663735156151603,166.71737484286825,0.6104372721591724,1.786378959140306
19,113,1,36.347989331303424,191.56297492869277,0.8020303167245024,2.3317018587862544
20,129,2,42.37845062797321,217.03452385989044,1.0326851740967384,2.987894575783436
21,145,2,48.74255308174263,243.13764295928002,1.3053362609126207,3.764029488055413
22,162,3,55.42667651305007,269.8775297540386,1.6229002691817782,4.669188521831735
23,179,3,62.41631938602329,297.25877592434256,1.988287614510053,5.7123682335968855
24,197,4,69.6962778337128,325.2851824028984,2.4044081997859723,6.9023864555416345
25,215,5,77.25082720161177,353.9595753460177,2.8741700730418147,8.247792490179705
26,234,6,85.06390245006926,383.283626698568,3.400470143436402,9.756782318445163
27,253,7,93.11927386952712,413.2576829518853,3.9861766751249696,11.437119789852403
28,272,8,101.40071479271512,443.88060545321275,4.634103787242603,13.296064310229658
29,292,10,109.89215832092219,475.1496252815387,5.346978639571399,15.340305141022426
30,312,11,118.57784049792556,507.0602152773148,6.127402371364352,17.57590207968986
31,333,13,127.44242784237187,539.6059813250769,6.977806179513495,20.00823200824116
32,354,15,136.47112766291227,572.7785744630455,7.900404165519922,22.64194058201604
33,376,17,145.6497801060765,606.5676248564157,8.897144741969075,25.480898189306938
