,$\beta_1$,$\beta_2$,$\beta_3$,$\beta_4$
0,0.30790123694167576,0.033504395814398374,0.10869790573220856,0.0007843741166889868
1,0.3075451485807643,0.0339834970506985,0.1100623642826761,0.0007268676789390846
2,0.306901717297771,0.033639032495895005,0.10941619697495707,0.0007521069495940991
3,0.3039730582550924,0.03295416066824497,0.10862775086305422,0.0007817513242097821
4,0.3062706466891295,0.0331428567949483,0.10838070355672437,0.0007973478652754102
5,0.30657515464479573,0.03312667436330733,0.10827838958882824,0.000798132861183244
6,0.3065612577371963,0.03335049767499519,0.10886684744960813,0.0007742031764052866
7,0.30666318774766127,0.03330159296793654,0.10870629126863825,0.0007802770996171819
8,0.30734021176442317,0.03362830647407606,0.10922726202460643,0.0007615947709532678
9,0.3067388484378116,0.03340381844708544,0.10884262476030016,0.0007781724421316406
10,0.30611342600559854,0.03350895829437388,0.10927503880447154,0.0007582619664490057
11,0.30507553366754137,0.03318796180951558,0.10886340274754569,0.0007735508489510284
12,0.3058629050103501,0.03332680810505192,0.10908834673102624,0.0007636358627459124
13,0.3085750948361728,0.03358381341140495,0.10875715834675374,0.0007822736563547342
14,0.304482141588456,0.033109762799464926,0.10871790458710492,0.0007833205973930208
15,0.3058740323040689,0.0333800827157899,0.10904449153872028,0.0007683967698738222
16,0.30477358488135703,0.03311879126987729,0.10870217627756668,0.0007804736820426631
17,0.30416232326789794,0.033258651325484674,0.109194408334845,0.0007644879750454724
18,0.3059598686268998,0.03324736259819384,0.1087777819330034,0.0007792271228636284
19,0.3051330295518017,0.033235115364359566,0.10899206764373191,0.0007690759742011622
20,0.3075579237254928,0.033641233458245844,0.1091741329119258,0.0007643125510405251
21,0.3074425081563054,0.033292031326269636,0.1084687002040455,0.0007889113306216043
22,0.30888621383500214,0.033542745314828516,0.10857041889279949,0.0007875791024869319
23,0.30696346738608427,0.033584755367487146,0.10924190607433706,0.000759635612119271
24,0.3043079492253028,0.03311433910060768,0.10896099723018979,0.000768367627796219
25,0.306018611882895,0.03344152705197753,0.10935840361199012,0.0007511100472728325
26,0.3045972211387547,0.033208014350606885,0.10920860188037348,0.000755221219738726
27,0.30429241727656664,0.03315164172819856,0.10898863837868814,0.0007718608395654825
28,0.3059856961910755,0.03350266164869563,0.10938205635770047,0.0007533416463239306
29,0.3036483118802417,0.03311198386823532,0.10920777295863768,0.0007560521454640994
30,0.3051657069678159,0.03325241639307571,0.10899788860361972,0.00076612546449549
31,0.30751183349070854,0.03366414018890091,0.10936162570149664,0.0007544109537395724
